OPE ID,School,State,Zip Code,School Type,Dependent Students_Q1,Independent Students_Q1,Quarterly Total_Q1,Dependent Students_Q2,Independent Students_Q2,Quarterly Total_Q2,Dependent Students_Q3,Independent Students_Q3,Quarterly Total_Q3,Dependent Students_Q4,Independent Students_Q4,Quarterly Total_Q4,Dependent Students_Q5,Independent Students_Q5,Quarterly Total_Q5
00100200,ALABAMA AGRCLTL & MECHL UNIV            ,AL,35762-1357,Public       ,"4,253",661,"4,914","2,031",622,"2,653","1,953",733,"2,686",570,588,"1,158",295,235,530
00100300,FAULKNER UNIVERSITY                     ,AL,36109-3398,Private      ,634,526,"1,160",439,779,"1,218",368,924,"1,292",183,672,855,53,305,358
00100400,UNIVERSITY OF MONTEVALLO                ,AL,35115-6000,Public       ,"1,820",295,"2,115",841,275,"1,116",598,278,876,260,192,452,110,85,195
00100500,ALABAMA STATE UNIVERSITY                ,AL,36101-0000,Public       ,"6,126","1,100","7,226","3,126",952,"4,078","1,828",984,"2,812",832,838,"1,670",510,354,864
00100700,CENTRAL ALABAMA COMMUNITY COLLEGE       ,AL,35011-0000,Public       ,415,226,641,300,226,526,266,316,582,188,312,500,70,146,216
00100800,ATHENS STATE UNIVERSITY                 ,AL,35611-1999,Public       ,381,513,894,307,613,920,320,838,"1,158",180,689,869,57,253,310
00100900,AUBURN UNIVERSITY                       ,AL,36849-5113,Public       ,"25,916","1,948","27,864","8,181","1,880","10,061","3,047","1,601","4,648","1,843","1,141","2,984","1,044",421,"1,465"
00101200,BIRMINGHAM SOUTHERN COLLEGE             ,AL,35254-0002,Private      ,"1,202",191,"1,393",591,157,748,316,145,461,129,140,269,56,71,127
00101300,CALHOUN COMMUNITY COLLEGE               ,AL,35609-0000,Public       ,"1,477",800,"2,277","1,286",949,"2,235","1,250","1,232","2,482",851,"1,070","1,921",290,528,818
00101500,ENTERPRISE STATE COMMUNITY COLLEGE      ,AL,36331-1300,Public       ,426,250,676,343,245,588,309,379,688,197,317,514,55,145,200
00101600,UNIVERSITY OF NORTH ALABAMA             ,AL,35632-0001,Public       ,"3,222",728,"3,950","1,625",857,"2,482","1,162","1,112","2,274",603,868,"1,471",160,418,578
00101700,GADSDEN STATE COMMUNITY COLLEGE         ,AL,35903-2269,Public       ,"1,056",715,"1,771",731,767,"1,498",671,939,"1,610",452,924,"1,376",144,378,522
00101800,GEORGE C WALLACE COMMUNITY COLLEGE      ,AL,36303-0943,Public       ,614,554,"1,168",574,682,"1,256",540,927,"1,467",421,876,"1,297",99,387,486
00101900,HUNTINGDON COLLEGE                      ,AL,36106-2148,Private      ,928,96,"1,024",607,91,698,281,72,353,106,64,170,30,25,55
00102000,JACKSONVILLE STATE UNIVERSITY           ,AL,36265-1602,Public       ,"5,351","1,246","6,597","3,090","1,111","4,201","1,588",994,"2,582",704,795,"1,499",260,306,566
00102200,JEFFERSON STATE COMMUNITY COLLEGE       ,AL,35215-3098,Public       ,"1,469","1,059","2,528","1,089","1,178","2,267","1,171","1,413","2,584",713,"1,305","2,018",212,538,750
00102400,UNIVERSITY OF WEST ALABAMA              ,AL,35470-0000,Public       ,"1,131",944,"2,075",576,"1,363","1,939",510,"1,845","2,355",270,"1,982","2,252",79,711,790
00102600,MARION MILITARY INSTITUTE               ,AL,36756-3214,Public       ,106,12,118,86,5,91,96,19,115,77,23,100,11,8,19
00102800,MILES COLLEGE                           ,AL,35064-2697,Private      ,912,294,"1,206",592,194,786,433,225,658,245,201,446,55,68,123
00102900,UNIVERSITY OF MOBILE                    ,AL,36613-0000,Private      ,819,209,"1,028",436,246,682,400,303,703,208,228,436,64,109,173
00103000,BISHOP STATE COMMUNITY COLLEGE          ,AL,36603-5898,Public       ,541,675,"1,216",478,625,"1,103",648,860,"1,508",469,861,"1,330",114,338,452
00103100,NORTHEAST ALABAMA STATE CMNTY COLG      ,AL,35986-0159,Public       ,414,188,602,343,198,541,264,301,565,211,333,544,49,121,170
00103300,OAKWOOD UNIVERSITY                      ,AL,35896-0001,Private      ,434,114,548,284,137,421,369,167,536,380,197,577,25,72,97
00103600,SAMFORD UNIVERSITY                      ,AL,35229-7000,Private      ,"3,845",564,"4,409","1,191",782,"1,973",542,651,"1,193",357,497,854,117,130,247
00103800,SNEAD STATE COMMUNITY COLLEGE           ,AL,35957-0734,Public       ,596,205,801,516,303,819,337,301,638,189,271,460,51,115,166
00104000,SOUTHERN UNION STATE COMMUNITY CLG      ,AL,36276-0000,Public       ,"1,223",516,"1,739",767,457,"1,224",789,578,"1,367",468,478,946,155,222,377
00104100,SPRING HILL COLLEGE                     ,AL,36608-1791,Private      ,812,119,931,392,150,542,261,159,420,125,125,250,37,71,108
00104400,STILLMAN COLLEGE                        ,AL,35403-0000,Private      ,563,240,803,331,194,525,353,207,560,137,209,346,39,53,92
