OPE ID,School,State,Zip Code,School Type,Dependent Students,Independent Students,Quarterly Total,nan
00100200,ALABAMA AGRCLTL & MECHL UNIV            ,AL,35762-1357,Public       ,"2,031",622,"2,653",
00100300,FAULKNER UNIVERSITY                     ,AL,36109-3398,Private      ,439,779,"1,218",
00100400,UNIVERSITY OF MONTEVALLO                ,AL,35115-6000,Public       ,841,275,"1,116",
00100500,ALABAMA STATE UNIVERSITY                ,AL,36101-0000,Public       ,"3,126",952,"4,078",
00100700,CENTRAL ALABAMA COMMUNITY COLLEGE       ,AL,35011-0000,Public       ,300,226,526,
00100800,ATHENS STATE UNIVERSITY                 ,AL,35611-1999,Public       ,307,613,920,
00100900,AUBURN UNIVERSITY                       ,AL,36849-5113,Public       ,"8,181","1,880","10,061",
00101200,BIRMINGHAM SOUTHERN COLLEGE             ,AL,35254-0002,Private      ,591,157,748,
00101300,CALHOUN COMMUNITY COLLEGE               ,AL,35609-0000,Public       ,"1,286",949,"2,235",
00101500,ENTERPRISE STATE COMMUNITY COLLEGE      ,AL,36331-1300,Public       ,343,245,588,
00101600,UNIVERSITY OF NORTH ALABAMA             ,AL,35632-0001,Public       ,"1,625",857,"2,482",
00101700,GADSDEN STATE COMMUNITY COLLEGE         ,AL,35903-2269,Public       ,731,767,"1,498",
00101800,GEORGE C WALLACE COMMUNITY COLLEGE      ,AL,36303-0943,Public       ,574,682,"1,256",
00101900,HUNTINGDON COLLEGE                      ,AL,36106-2148,Private      ,607,91,698,
00102000,JACKSONVILLE STATE UNIVERSITY           ,AL,36265-1602,Public       ,"3,090","1,111","4,201",
00102200,JEFFERSON STATE COMMUNITY COLLEGE       ,AL,35215-3098,Public       ,"1,089","1,178","2,267",
00102400,UNIVERSITY OF WEST ALABAMA              ,AL,35470-0000,Public       ,576,"1,363","1,939",
00102600,MARION MILITARY INSTITUTE               ,AL,36756-3214,Public       ,86,5,91,
00102800,MILES COLLEGE                           ,AL,35064-2697,Private      ,592,194,786,
00102900,UNIVERSITY OF MOBILE                    ,AL,36613-0000,Private      ,436,246,682,
00103000,BISHOP STATE COMMUNITY COLLEGE          ,AL,36603-5898,Public       ,478,625,"1,103",
00103100,NORTHEAST ALABAMA STATE CMNTY COLG      ,AL,35986-0159,Public       ,343,198,541,
00103300,OAKWOOD UNIVERSITY                      ,AL,35896-0001,Private      ,284,137,421,
00103600,SAMFORD UNIVERSITY                      ,AL,35229-7000,Private      ,"1,191",782,"1,973",
00103800,SNEAD STATE COMMUNITY COLLEGE           ,AL,35957-0734,Public       ,516,303,819,
00104000,SOUTHERN UNION STATE COMMUNITY CLG      ,AL,36276-0000,Public       ,767,457,"1,224",
00104100,SPRING HILL COLLEGE                     ,AL,36608-1791,Private      ,392,150,542,
00104400,STILLMAN COLLEGE                        ,AL,35403-0000,Private      ,331,194,525,
00104600,TALLADEGA COLLEGE                       ,AL,35160-2354,Private      ,292,134,426,
00104700,TROY UNIVERSITY                         ,AL,36082-0001,Public       ,"2,311","2,420","4,731",
00105000,TUSKEGEE UNIVERSITY                     ,AL,36088-1645,Private      ,"1,493",333,"1,826",
